Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Longitude,Lattitude,Region,Sub-Region,Territory,Info,Name en,Name fr,Name es,Name he,Name ar,Date estab,Hectare,CMS ID,Area A,Area B,Area C
Adam (Geva Binyamin),adam-geva-binyamin,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dafae203cd6f5aced4,false,false,Mon Jul 14 2025 22:34:02 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:09 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.27467,31.84969,jerusalem,,West Bank,,,Adam (Geva Binyamin),Adán (Geva Binyamin),אדם (גבע בנימין),أدم (جيفع بنيامين),1984,47,687585dafae203cd6f5aced4,false,false,true
Adei Ad,adei-ad,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d72c54671bda3c5d3d,false,false,Mon Jul 14 2025 22:33:59 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:09 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33598,32.04179,nablus,,West Bank,,,Adei Ad,Adei Ad,עדי עד,عدي عد,1998,67,687585d72c54671bda3c5d3d,false,false,true
Adora,adora,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d76b3523723690f020,false,false,Mon Jul 14 2025 22:33:59 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:09 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.01724,31.55227,hebron,,West Bank,,,Adora,Adora,אדורה,أدورا,1984,10,687585d76b3523723690f020,false,false,true
Ahavat Chaim,ahavat-chaim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d5fdba09387dbe299a,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:09 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.34216,31.95789,ramallah,,West Bank,,,Ahavat Haïm,Ahavat Haim,אהבת חיים,أهفات حاييم,1999,5,687585d5fdba09387dbe299a,false,false,true
Ahiya,ahiya,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d34b1a2abdb76f074b,false,false,Mon Jul 14 2025 22:33:55 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:09 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.32882,32.06185,nablus,,West Bank,,,Ahiya,Ahiya,אחיה,أحِياه,1997,35,687585d34b1a2abdb76f074b,false,false,true
Ahuzat Shalhevet,ahuzat-shalhevet,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d2be91bac0265b4208,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:09 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.2263,32.17132,nablus,,West Bank,,,Ahuzat Shalhevet,Ahuzat Shalhevet,אחוזת שלהבת,أحوزات شلهيفت,1999,15,687585d2be91bac0265b4208,false,false,false
Alei Zahav,alei-zahav,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dfdea08a20f8c50834,false,false,Mon Jul 14 2025 22:34:07 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:10 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.06618,32.0713,salfit,,West Bank,,,Alei Zahav,Alei Zahav,עלי זהב,عالي زهاف,1982,25,687585dfdea08a20f8c50834,false,false,false
Alfei Menashe,alfei-menashe,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585de53ca236770523692,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:10 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.0131,32.17336,qalqilya,,West Bank,,,Alfei Menashe,Alfei Menashe,אלפי מנשה,ألفي منشه,1993,129,687585de53ca236770523692,false,false,true
Almog,almog,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585db7951a3a47cf98adc,false,false,Mon Jul 14 2025 22:34:03 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:10 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.46112,31.78989,jericho,,West Bank,,,Almog,Almog,אלמוג,ألموج,1977,10,687585db7951a3a47cf98adc,false,false,true
Almon,almon,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585db34e1b986103e9aa0,false,false,Mon Jul 14 2025 22:34:03 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:10 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.29451,31.82987,jerusalem,,West Bank,,,Almon,Almon,עלמון,علمون,1982,22,687585db34e1b986103e9aa0,false,false,true
